"RunLabel"	"ComputeTemplate"	"DataDiskBytes"	"FleetVMPercent"	"MemoryStartupBytes"	"PowerScheme"	"ProcessorCount"	"VMAlignmentPct"	"Workload"	"RunType"	"CutoffType"	"QOSperVM"	"VMCount"	"IOPS"	"AverageCPU"	"AverageCSVIOPS"	"AverageCSVReadBW"	"AverageCSVReadIOPS"	"AverageCSVReadMilliseconds"	"AverageCSVWriteBW"	"AverageCSVWriteIOPS"	"AverageCSVWriteMilliseconds"	"AverageReadBW"	"AverageReadIOPS"	"AverageReadMilliseconds"	"AverageWriteBW"	"AverageWriteIOPS"	"AverageWriteMilliseconds"	"ReadMilliseconds50"	"ReadMilliseconds90"	"ReadMilliseconds99"	"WriteMilliseconds50"	"WriteMilliseconds90"	"WriteMilliseconds99"
"8ccc4d7d-7ae1-4742-a07a-212c370e46a9"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"7501"	"256"	"1920273.65637956"	"45.9860338676966"	"1922942.53533351"	"7080139687.55804"	"1730712.52740096"	"0.11242506303822"	"790437285.976949"	"192230.007932555"	"0.189920623121736"	"7079108214.23053"	"1728297.90386488"	"0.344203220327585"	"786332682.300136"	"191975.752514682"	"0.44272557478432"	"0.27270703125"	"0.53352734375"	"1.55888671875"	"0.34836328125"	"0.6899453125"	"1.97076953125"
"8ccc4d7d-7ae1-4742-a07a-212c370e46a9"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"11252"	"256"	"2880553.3494175"	"69.1953061900204"	"2881541.64200778"	"10619241023.7542"	"2593162.85468801"	"0.127133643433391"	"1184059108.90592"	"288378.787319764"	"0.274128488273445"	"10619219002.3573"	"2592582.76424738"	"0.55645149514133"	"1179527516.85678"	"287970.585170111"	"0.761139002382073"	"0.37525"	"0.94408984375"	"3.63730859375"	"0.49848828125"	"1.2887109375"	"5.16397265625"
"8ccc4d7d-7ae1-4742-a07a-212c370e46a9"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"3751"	"256"	"960239.014970027"	"24.7150888824273"	"962543.157145768"	"3541790429.04004"	"866192.126187716"	"0.105818523256791"	"399133753.636198"	"96351.0309580524"	"0.157672115552542"	"3539831143.68746"	"864216.587814322"	"0.298818478289356"	"393307861.629771"	"96022.4271557059"	"0.369845963549652"	"0.2479765625"	"0.4309375"	"1.26205078125"	"0.30387890625"	"0.53347265625"	"1.80924609375"
"8ccc4d7d-7ae1-4742-a07a-212c370e46a9"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"1875"	"256"	"480005.225819158"	"13.7426634182423"	"480996.184609038"	"1771731236.13971"	"432708.588205653"	"0.101050315291649"	"202363390.100936"	"48287.5964033853"	"0.140549301510218"	"1769583770.82105"	"432027.287798108"	"0.299827678485637"	"196517634.134218"	"47977.9380210494"	"0.357246050481809"	"0.25022265625"	"0.412359375"	"1.9480625"	"0.29452734375"	"0.4830234375"	"2.083515625"
"8ccc4d7d-7ae1-4742-a07a-212c370e46a9"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"13127"	"256"	"3362014.15126632"	"80.1630474304126"	"3369666.82826059"	"12415668892.4623"	"3032657.41739182"	"0.167867726148556"	"1385244527.33449"	"337009.41086877"	"0.567020337868022"	"12393441774.8886"	"3025742.6208224"	"0.918558219587314"	"1377368188.69829"	"336271.530443918"	"1.40543996986479"	"0.575640625"	"1.87537890625"	"5.3149921875"	"0.892910156250001"	"2.69944140625"	"8.47251171875"
"8ccc4d7d-7ae1-4742-a07a-212c370e46a9"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"9377"	"256"	"2400537.82852782"	"55.5510584182126"	"2402772.54124426"	"8848785493.77579"	"2162099.61574647"	"0.117318930668291"	"989721216.437588"	"240672.925497797"	"0.203851762734238"	"8848147821.53743"	"2160192.33924254"	"0.3785952395507"	"984455124.112527"	"240345.489285285"	"0.485708457028468"	"0.2934921875"	"0.5813359375"	"1.91676171875"	"0.3707734375"	"0.68769140625"	"2.5529609375"
"8ccc4d7d-7ae1-4742-a07a-212c370e46a9"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"5626"	"256"	"1440272.22870387"	"40.9808995451212"	"1446225.4629863"	"5614378046.20058"	"1301793.4969974"	"0.110909710300892"	"594115433.912142"	"144431.9659889"	"0.170709730485388"	"5309577575.88467"	"1296283.58786247"	"0.351354795757899"	"589777472.886356"	"143988.640841396"	"0.435734882138505"	"0.26208984375"	"0.51382421875"	"2.04998046875"	"0.3280703125"	"0.62994921875"	"2.50062890625"
"8ccc4d7d-7ae1-4742-a07a-212c370e46a9"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"938"	"256"	"240129.893742039"	"9.16332161483386"	"241811.784950672"	"886235503.333625"	"217439.800952808"	"0.0963622306898367"	"104168311.727568"	"24371.9839978641"	"0.124951584201703"	"885366777.718663"	"216153.99846647"	"0.245074021848758"	"98205267.0487267"	"23975.895275568"	"0.297884658724386"	"0.2059296875"	"0.32090234375"	"1.9058046875"	"0.25029296875"	"0.37331640625"	"1.97391796875"
"8ccc4d7d-7ae1-4742-a07a-212c370e46a9"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"14068"	"256"	"3602840.31056709"	"85.3829903702596"	"3623261.88035623"	"13353636295.2003"	"3260725.31059108"	"0.188935202420415"	"1488981380.07769"	"362536.569765157"	"0.683520990250538"	"13281816932.5708"	"3242631.08705341"	"1.14219852889809"	"1475416979.51202"	"360209.223513677"	"1.70798498218191"	"0.70114453125"	"2.6094375"	"5.93017578125"	"1.0124765625"	"3.7572265625"	"10.01134765625"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"0"	"256"	"2071342.38459648"	"88.0079855428147"	"2074919.08690729"	"5945065609.05695"	"1452939.12643839"	"0.802955296238982"	"2549650962.04931"	"621979.960468892"	"6.32160898474941"	"5939535511.46671"	"1450081.91197918"	"2.1829379824561"	"2544682895.84045"	"621260.472617297"	"7.79321189847792"	"1.0813515625"	"5.46864453125"	"16.87008203125"	"7.3347421875"	"15.97085546875"	"26.69713671875"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"4046"	"256"	"1035759.51115404"	"38.445714759646"	"1038014.96891384"	"2969895100.72208"	"726856.700098609"	"0.109403035301625"	"1277681809.74891"	"311158.268815226"	"0.178907693936112"	"2969413531.86612"	"724954.475553252"	"0.373950098116358"	"1273057425.82082"	"310805.035600786"	"0.462770768147187"	"0.30004296875"	"0.588078125"	"1.5594609375"	"0.3696875"	"0.71915234375"	"1.96998046875"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"2023"	"256"	"517879.980087486"	"21.0154740403128"	"519338.38183912"	"1485705156.97722"	"363685.675458081"	"0.103200024087596"	"640287582.200484"	"155652.706381039"	"0.14396276987412"	"1485139916.40973"	"362582.987404719"	"0.350649768722616"	"636096482.028611"	"155296.992682766"	"0.408853548679764"	"0.2886171875"	"0.51373046875"	"1.9296640625"	"0.33501953125"	"0.59077734375"	"2.14632421875"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"Scale"	"6069"	"256"	"1502216.00308009"	"72.6580021101788"	"1505893.14655196"	"4314264759.96081"	"1054003.48359941"	"0.570499406183946"	"1852674578.85797"	"451889.662952554"	"3.99050619194135"	"4306679872.16564"	"1051435.51566544"	"1.82222651886571"	"1846396876.45041"	"450780.487414651"	"5.49490274916243"	"0.89971875"	"3.74190625"	"15.840046875"	"3.75762109375"	"11.811140625"	"32.902796875"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"1011"	"256"	"258814.166500634"	"12.1792724902636"	"260666.557331446"	"742895498.618466"	"182736.581563367"	"0.097315032230167"	"323393009.056594"	"77929.975768079"	"0.125011159749511"	"742262482.505979"	"181216.426393061"	"0.276845528146363"	"317840343.480618"	"77597.7401075727"	"0.323370543702664"	"0.23117578125"	"0.3667265625"	"1.946375"	"0.2683984375"	"0.4129765625"	"2.03692578125"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"4957"	"256"	"1263121.77910302"	"54.9915734679852"	"1269668.37049063"	"3635020771.17324"	"888914.252352473"	"0.360850673152508"	"1562243433.71443"	"380754.118138152"	"2.20865547898842"	"3621242602.08636"	"884092.432149989"	"1.1027266869584"	"1552504205.1196"	"379029.346953027"	"3.34249708402489"	"0.547078125"	"2.03343359375"	"9.74665234375"	"1.91483203125"	"6.69696484375"	"26.3245859375"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"505"	"256"	"129251.357974849"	"7.88468771409403"	"131036.949451054"	"371027257.202563"	"92018.4173327255"	"0.0917241860864405"	"161984771.981248"	"39018.532118328"	"0.111684719319857"	"370810609.560207"	"90529.9339746598"	"0.220617137610923"	"158602952.704775"	"38721.4240001893"	"0.263919573014968"	"0.17836328125"	"0.28075"	"1.86598046875"	"0.2149765625"	"0.319359375"	"1.91871875"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"Scale"	"5401"	"256"	"1361451.83526685"	"66.3201032638989"	"1366856.84565325"	"3916558377.98311"	"956780.544303504"	"0.562253707706802"	"1681254230.70621"	"410076.301349749"	"3.96065143690369"	"3903315479.61589"	"952957.880765598"	"1.67429867187304"	"1673191237.63713"	"408493.954501253"	"5.31722682082912"	"0.77100390625"	"3.386234375"	"14.80905859375"	"3.39623046875"	"11.29130859375"	"31.9007734375"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"3034"	"256"	"776699.71061974"	"30.116467435174"	"780619.585679472"	"2228091106.2343"	"547316.318466405"	"0.106167001434799"	"959704027.369874"	"233303.267213067"	"0.164757295874368"	"2227124023.19454"	"543731.45097523"	"0.366137648197666"	"954237991.503912"	"232968.25964451"	"0.443180366274438"	"0.29814453125"	"0.5583671875"	"1.59753125"	"0.35890234375"	"0.675207031250001"	"1.989765625"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"4490"	"256"	"1149452.32727941"	"45.4815479880375"	"1151279.17111594"	"3298140693.30014"	"805845.066334805"	"0.133461046864911"	"1417547209.43289"	"345434.104781135"	"0.389701344134988"	"3295371597.55796"	"804534.081435049"	"0.595930839625541"	"1412785134.97848"	"344918.245844357"	"1.22664238659533"	"0.3440859375"	"0.933171875000001"	"4.53468359375"	"0.4619921875"	"1.95252734375"	"14.65204296875"
"775f5432-700a-44b3-963e-4f6088ef206e"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"252"	"256"	"64500.8018322929"	"5.94966030213441"	"66515.8472780768"	"186505061.307954"	"46807.2506784827"	"0.0881655253704197"	"85754187.5435323"	"19708.596599594"	"0.107793155109146"	"185003751.356571"	"45166.931483538"	"0.180738636549867"	"79191532.9485006"	"19333.870348755"	"0.216092479655576"	"0.14115625"	"0.20851953125"	"1.82658984375"	"0.16915625"	"0.23278515625"	"1.8725"
"d35f7f72-efd2-46a9-8bab-607671fa20d0"	"A1v2"	"0"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"Peak4kRead"	"Default"	"No"	"0"	"256"	"5170396.76139575"	"96.8122063066841"	"5184557.30061593"	"21229404849.7415"	"5184259.54338843"	"0.231214370304844"	"3566570.72273912"	"297.757227492412"	"1.1014339557565"	"21177945134.677"	"5170396.76139575"	"1.36780870841605"	"0"	"0"	"0"	"0.8854921875"	"3.39975390625"	"6.8105703125"	"0"	"0"	"0"
